"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.082465102","157.240.0.60","10.0.2.15","TLSv1.2","788","Application Data, Application Data"
"17","0.370199988","157.240.0.60","10.0.2.15","QUIC","1274","Initial, SCID=961d00321409a208, PKN: 15326337, CRYPTO, ACK, PADDING"
"18","0.370200379","157.240.0.60","10.0.2.15","QUIC","251","Handshake, SCID=961d00321409a208"
"20","0.372108287","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"21","0.372357937","157.240.0.60","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"22","0.372358087","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"24","0.439394312","157.240.0.60","10.0.2.15","QUIC","81","Handshake, SCID=961d00321409a208"
"25","0.439827808","157.240.0.60","10.0.2.15","QUIC","154","Protected Payload (KP0)"
"26","0.440717721","157.240.0.60","10.0.2.15","QUIC","314","Protected Payload (KP0)"
"28","0.599137911","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"30","0.610674491","157.240.0.60","10.0.2.15","QUIC","666","Protected Payload (KP0)"
"31","0.610674982","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"32","0.610798654","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"33","0.610798714","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"34","0.610868996","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"35","0.610869107","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"36","0.610937245","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"39","0.611083876","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"40","0.611084276","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"43","0.611288951","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"44","0.611382778","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"46","0.611439064","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"48","0.611492975","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"49","0.611695686","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"50","0.611753094","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"52","0.611824088","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"54","0.620413150","157.240.0.60","10.0.2.15","QUIC","826","Protected Payload (KP0)"
"55","0.620414172","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"56","0.620414192","157.240.0.60","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"57","0.620537153","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"58","0.620537233","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"59","0.620537254","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"60","0.620537274","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"61","0.620593599","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"62","0.620593640","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"63","0.620697069","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"64","0.620697359","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"65","0.620697379","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"66","0.620760398","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"67","0.620760458","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"69","0.620803709","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"70","0.620803729","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"78","0.624135120","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"79","0.628058187","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"80","0.628058548","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"81","0.628177612","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"82","0.628177682","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"83","0.628212517","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"87","0.686809452","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"88","0.687081905","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"90","0.696331589","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"91","0.696331960","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"92","0.696331980","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"93","0.696458227","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"94","0.696458258","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"95","0.696458278","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"96","0.696458298","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"97","0.696535813","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"102","0.703407661","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"103","0.703407992","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"104","0.703509172","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"105","0.703593681","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"107","0.703688028","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"108","0.703688119","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"111","0.704686702","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"112","0.704749350","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"113","0.704749390","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"114","0.704784466","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"115","0.704784486","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"116","0.704817117","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"117","0.704866871","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"118","0.704866961","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"119","0.704913548","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"120","0.704944697","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"126","0.715292286","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"127","0.715292947","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"128","0.715292967","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"129","0.715292987","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"130","0.715420226","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"131","0.717731914","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"132","0.717732545","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"133","0.717732565","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"134","0.717732585","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"135","0.717835709","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"136","0.717835769","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"137","0.717835789","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"138","0.717835809","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"139","0.717904168","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"140","0.717904218","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"141","0.717904248","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"150","0.724935771","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"151","0.724936953","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"152","0.724936983","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"153","0.725088879","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"154","0.725088949","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"155","0.725088979","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"156","0.725154653","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"157","0.725186543","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"158","0.725261083","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"159","0.725368595","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"160","0.725368715","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"161","0.725425983","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"162","0.725458314","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"164","0.725550397","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"166","0.725618735","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"167","0.725618805","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"173","0.731704580","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"174","0.731896371","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"175","0.731896531","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"176","0.731896551","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"177","0.731896572","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"178","0.731970280","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"179","0.731970350","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"180","0.732047976","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"181","0.732048086","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"182","0.732048107","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"183","0.732110083","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"184","0.732110133","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"185","0.732168212","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"188","0.801667470","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"189","0.801667850","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"190","0.801667870","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
