"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.170136343","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"14","1.627378264","157.240.0.60","10.0.2.15","TLSv1.2","118","Application Data"
"20","1.730907066","157.240.0.60","10.0.2.15","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"34","1.816041402","157.240.0.60","10.0.2.15","TLSv1.3","299","Application Data, Application Data"
"37","1.817874931","157.240.0.60","10.0.2.15","TLSv1.3","98","Application Data"
"38","1.823714992","157.240.0.60","10.0.2.15","TLSv1.3","89","Application Data"
"40","1.843425599","157.240.0.60","10.0.2.15","TLSv1.3","541","Application Data"
"41","1.844046880","157.240.0.60","10.0.2.15","TLSv1.3","257","Application Data"
"45","2.688114136","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"47","8.903223942","157.240.0.60","10.0.2.15","TLSv1.2","151","Application Data"
"53","14.572543277","157.240.0.60","10.0.2.15","TLSv1.2","87","Application Data"
"62","14.716559998","213.57.24.97","10.0.2.15","QUIC","1274","Initial, SCID=a18100060ecc106d, PKN: 4128914, CRYPTO, ACK, PADDING"
"63","14.716560439","213.57.24.97","10.0.2.15","QUIC","250","Handshake, SCID=a18100060ecc106d"
"64","14.716560469","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"65","14.716723606","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"68","14.733841216","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=a18100060ecc106d"
"69","14.734139999","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"73","14.792072751","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"75","14.796783082","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"76","14.796784044","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"77","14.796784074","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"78","14.796784094","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"80","14.798990530","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"81","14.798990850","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"82","14.798990870","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"83","14.798990900","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"84","14.798990920","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"85","14.798990940","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"86","14.798990970","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"97","14.814990104","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"98","14.814991096","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"99","14.815543015","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"101","14.816645216","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"103","14.833714550","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"104","14.833715251","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"105","14.833923133","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"106","14.833923243","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"109","14.836735961","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"110","14.836736461","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"111","14.837100577","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"112","14.837100687","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"113","14.837100708","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"116","14.840986917","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"117","14.840987418","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"118","14.840987438","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"119","14.841093357","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"120","14.841093418","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"124","14.842299199","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"125","14.842453820","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"126","14.842502391","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"128","14.854635904","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"129","14.854637066","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"130","14.854954223","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"131","14.854954343","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"132","14.855018264","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"133","14.855093956","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"134","14.855164209","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"135","14.855276049","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"140","14.857307305","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"141","14.857307725","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"142","14.857307745","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"143","14.857307775","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"145","14.857810172","213.57.24.97","10.0.2.15","QUIC","1242","Protected Payload (KP0)"
"148","14.876755313","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"151","15.199423001","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"153","30.788968653","157.240.0.60","10.0.2.15","TLSv1.2","1311","Application Data"
"156","30.903528951","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"163","31.139254710","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"164","31.214849438","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"166","31.229139288","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"167","31.229139769","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"169","31.255474180","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"170","31.255475392","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"171","31.255475452","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"172","31.255475472","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"174","31.256034155","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"177","31.256265590","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"178","31.256265671","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"179","31.256345832","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"181","31.258583626","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"182","31.258585369","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"183","31.258585399","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"184","31.258585429","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"185","31.258585449","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"189","31.261598794","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"190","31.261598984","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"191","31.261599004","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"192","31.261599024","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"193","31.261599044","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"194","31.261599074","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"195","31.261599094","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"196","31.261599114","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
