"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.0.60","10.0.2.15","TLSv1.2","93","Application Data"
"13","7.287422313","157.240.0.60","10.0.2.15","TLSv1.2","71","Application Data"
"26","7.503119580","213.57.24.97","10.0.2.15","QUIC","1274","Initial, SCID=b68100094b0971d5, PKN: 7703410, CRYPTO, ACK, PADDING"
"27","7.503120001","213.57.24.97","10.0.2.15","QUIC","250","Handshake, SCID=b68100094b0971d5"
"28","7.503120031","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"30","7.503922696","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"32","7.518729549","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=b68100094b0971d5"
"33","7.518729989","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"34","7.542320156","157.240.0.60","10.0.2.15","TLSv1.2","1055","Application Data"
"38","7.784956935","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"39","7.834925989","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"40","7.834926390","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"41","7.834926420","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"42","7.835136574","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"43","7.835136684","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"44","7.835136714","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"45","7.835136744","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"46","7.835136784","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"47","7.835136824","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"48","7.835195935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"49","7.835276456","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"50","7.835276506","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"58","7.873733238","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"59","7.873733678","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"60","7.873733708","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"61","7.873733729","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"62","7.873733759","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"63","7.873878289","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"64","7.873878400","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"65","7.873878430","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"66","7.873878450","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"67","7.873878470","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"68","7.873979800","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"69","7.873979910","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"70","7.873979950","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"71","7.874073956","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"72","7.874074026","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"73","7.874074066","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"74","7.874157052","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"75","7.874253663","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"76","7.874253723","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"78","7.874866251","213.57.24.97","10.0.2.15","QUIC","1114","Protected Payload (KP0)"
"89","8.648113453","157.240.0.60","10.0.2.15","TLSv1.2","160","Application Data"
"101","23.897777524","142.251.37.67","10.0.2.15","QUIC","1292","Initial, SCID=ec0a32843add5f02, PKN: 1, ACK, PADDING"
