"No.","Time","Source","Destination","Protocol","Length","Info"
"103","3.008428330","172.217.22.110","10.0.2.15","QUIC","1292","Initial, SCID=cb4f94834ae902db, PKN: 1, ACK, PADDING"
"106","3.049648309","172.217.22.110","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"108","3.054343713","172.217.22.110","10.0.2.15","QUIC","861","Protected Payload (KP0)"
"109","3.054510025","172.217.22.110","10.0.2.15","QUIC","211","Protected Payload (KP0)"
"110","3.054510055","172.217.22.110","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"111","3.054600004","172.217.22.110","10.0.2.15","QUIC","1220","Protected Payload (KP0)"
"112","3.054712936","172.217.22.110","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"113","3.055485766","172.217.22.110","10.0.2.15","QUIC","429","Protected Payload (KP0)"
"118","3.070462612","172.217.22.110","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"120","3.079127359","172.217.22.110","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"121","3.079128180","172.217.22.110","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"129","3.187251545","172.217.22.110","10.0.2.15","QUIC","71","Protected Payload (KP0)"
"130","3.187866339","172.217.22.110","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"131","3.191922414","172.217.22.110","10.0.2.15","QUIC","64","Protected Payload (KP0)"
"132","3.192090148","172.217.22.110","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"133","3.192090209","172.217.22.110","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"137","3.193579207","172.217.22.110","10.0.2.15","QUIC","718","Protected Payload (KP0)"
"139","3.212906921","172.217.22.110","10.0.2.15","QUIC","65","Protected Payload (KP0)"
"141","3.244945032","172.217.22.110","10.0.2.15","QUIC","718","Protected Payload (KP0)"
"154","3.524611708","157.240.0.60","10.0.2.15","TLSv1.2","127","Application Data"
"162","4.248940358","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"179","4.862638910","172.217.22.42","10.0.2.15","QUIC","1292","Initial, SCID=dc22d8aefe894e6c, PKN: 1, ACK, PADDING"
"180","4.864927023","142.251.142.195","10.0.2.15","QUIC","1292","Initial, SCID=f3fcb6c6384d15d3, PKN: 1, ACK, PADDING"
"181","4.891393230","172.217.22.42","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"182","4.891564462","172.217.22.42","10.0.2.15","QUIC","849","Protected Payload (KP0)"
"183","4.891564522","172.217.22.42","10.0.2.15","QUIC","241","Protected Payload (KP0)"
"184","4.892155751","172.217.22.42","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"188","4.906588230","142.251.142.195","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"189","4.906588821","142.251.142.195","10.0.2.15","QUIC","864","Protected Payload (KP0)"
"190","4.906588841","142.251.142.195","10.0.2.15","QUIC","186","Protected Payload (KP0)"
"191","4.906588861","142.251.142.195","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"194","4.909362916","172.217.22.42","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"195","4.913772840","172.217.22.42","10.0.2.15","QUIC","71","Protected Payload (KP0)"
"197","4.925133225","142.251.142.195","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"206","4.993521608","172.217.22.42","10.0.2.15","QUIC","899","Protected Payload (KP0)"
"207","4.993522439","172.217.22.42","10.0.2.15","QUIC","219","Protected Payload (KP0)"
"230","5.055421927","172.217.22.42","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"277","5.213953579","142.251.37.78","10.0.2.15","QUIC","1292","Initial, SCID=f6ba72b68054b9a7, PKN: 1, ACK, PADDING"
"287","5.260677985","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"289","5.260678035","142.251.37.78","10.0.2.15","QUIC","849","Protected Payload (KP0)"
"291","5.260772733","142.251.37.78","10.0.2.15","QUIC","201","Protected Payload (KP0)"
"293","5.260844668","142.251.37.78","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"338","5.301755476","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"347","5.309514624","142.251.37.78","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"361","5.372032623","142.251.37.78","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"362","5.372143030","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"363","5.372242487","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"364","5.372296879","142.251.37.78","10.0.2.15","QUIC","826","Protected Payload (KP0)"
"368","5.397162973","142.251.37.78","10.0.2.15","QUIC","69","Protected Payload (KP0)"
"375","5.410633718","142.251.37.78","10.0.2.15","QUIC","1287","Protected Payload (KP0)"
"376","5.410634279","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"377","5.410634299","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"378","5.410786094","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"379","5.410786174","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"380","5.410863549","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"384","5.414312510","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"385","5.414563641","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"386","5.414563771","142.251.37.78","10.0.2.15","QUIC","256","Protected Payload (KP0)"
"387","5.414644924","142.251.37.78","10.0.2.15","QUIC","1287","Protected Payload (KP0)"
"388","5.414735904","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"389","5.414812408","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"391","5.415320702","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"392","5.415428754","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"393","5.415428784","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"394","5.415492193","142.251.37.78","10.0.2.15","QUIC","603","Protected Payload (KP0)"
"400","5.425950566","142.251.37.78","10.0.2.15","QUIC","1285","Protected Payload (KP0)"
"401","5.425951358","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"403","5.428603163","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"404","5.428603584","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"408","5.434147585","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"409","5.434608109","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"410","5.434842629","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"411","5.434842720","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"412","5.434842740","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"413","5.434982662","142.251.37.78","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"417","5.435556499","142.251.37.78","10.0.2.15","QUIC","332","Protected Payload (KP0)"
"422","5.499799815","142.251.37.78","10.0.2.15","QUIC","333","Protected Payload (KP0)"
"426","5.525733607","172.217.22.54","10.0.2.15","QUIC","1292","Initial, SCID=ebba94e481ecdf3f, PKN: 1, ACK, PADDING"
"433","5.563251420","172.217.22.54","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"434","5.563251820","172.217.22.54","10.0.2.15","QUIC","848","Protected Payload (KP0)"
"437","5.566109808","172.217.22.54","10.0.2.15","QUIC","194","Protected Payload (KP0)"
"438","5.566110780","172.217.22.54","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"439","5.566110840","172.217.22.54","10.0.2.15","QUIC","180","Protected Payload (KP0)"
"445","5.583956553","172.217.22.54","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"446","5.586074166","172.217.22.54","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"448","5.600524834","142.251.142.195","10.0.2.15","QUIC","1292","Initial, SCID=d2075835e606ca15, PKN: 1, ACK, PADDING"
"456","5.644252562","142.251.142.195","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"458","5.644374521","142.251.142.195","10.0.2.15","QUIC","858","Protected Payload (KP0)"
"459","5.644435315","142.251.142.195","10.0.2.15","QUIC","196","Protected Payload (KP0)"
"460","5.644518822","142.251.142.195","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"461","5.645331917","142.251.37.78","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"473","5.665473869","142.251.142.195","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"513","5.822049897","172.217.22.118","10.0.2.15","QUIC","1292","Initial, SCID=c147ec4e5756db97, PKN: 1, ACK, PADDING"
"534","5.867265177","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"536","5.867266229","172.217.22.118","10.0.2.15","QUIC","865","Protected Payload (KP0)"
"538","5.867266279","172.217.22.118","10.0.2.15","QUIC","177","Protected Payload (KP0)"
"540","5.867266319","172.217.22.118","10.0.2.15","QUIC","66","Protected Payload (KP0)"
"547","5.870639227","172.217.22.118","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"549","5.870639848","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"551","5.870965389","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"553","5.870965800","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"555","5.870965850","172.217.22.118","10.0.2.15","QUIC","681","Protected Payload (KP0)"
"557","5.871114278","172.217.22.118","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"559","5.871114318","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"561","5.871250684","172.217.22.118","10.0.2.15","QUIC","1288","Protected Payload (KP0)"
"563","5.871329953","172.217.22.118","10.0.2.15","QUIC","1292","Protected Payload (KP0)"
"565","5.871417828","172.217.22.118","10.0.2.15","QUIC","333","Protected Payload (KP0)"
"593","5.885644320","172.217.22.118","10.0.2.15","QUIC","162","Protected Payload (KP0)"
"595","5.890707630","172.217.22.118","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"596","5.892576166","142.251.37.78","10.0.2.15","QUIC","67","Protected Payload (KP0)"
"598","5.916873614","172.217.22.118","10.0.2.15","QUIC","68","Protected Payload (KP0)"
"667","6.142900663","142.251.37.78","10.0.2.15","QUIC","67","Protected Payload (KP0)"
