"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","172.217.22.46","TCP","54","57160  >  443 [ACK] Seq=1 Ack=1 Win=62780 Len=0"
"2","0.000511039","172.217.22.46","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  57160 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"3","1.693488099","10.0.2.15","172.217.22.4","UDP","106","59270  >  443 Len=64"
"4","1.710990633","172.217.22.4","10.0.2.15","UDP","70","443  >  59270 Len=28"
"5","1.738159609","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"6","1.795736617","172.217.22.4","10.0.2.15","UDP","379","443  >  59270 Len=337"
"7","1.796048111","172.217.22.4","10.0.2.15","UDP","323","443  >  59270 Len=281"
"8","1.796163087","10.0.2.15","172.217.22.4","UDP","77","59270  >  443 Len=35"
"9","1.824782534","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"10","1.840554802","172.217.22.4","10.0.2.15","UDP","67","443  >  59270 Len=25"
"11","1.870937182","10.0.2.15","172.217.22.4","UDP","102","59270  >  443 Len=60"
"12","1.890514403","172.217.22.4","10.0.2.15","UDP","70","443  >  59270 Len=28"
"13","1.922604302","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"14","1.973154481","10.0.2.15","172.217.22.4","UDP","103","59270  >  443 Len=61"
"15","1.990932883","172.217.22.4","10.0.2.15","UDP","70","443  >  59270 Len=28"
"16","2.017599195","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"17","2.043956668","172.217.22.4","10.0.2.15","UDP","147","443  >  59270 Len=105"
"18","2.044192090","10.0.2.15","172.217.22.4","UDP","102","59270  >  443 Len=60"
"19","2.044427862","10.0.2.15","172.217.22.4","UDP","77","59270  >  443 Len=35"
"20","2.044740549","172.217.22.4","10.0.2.15","UDP","81","443  >  59270 Len=39"
"21","2.062147719","172.217.22.4","10.0.2.15","UDP","70","443  >  59270 Len=28"
"22","2.062405032","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"23","2.088289067","172.217.22.4","10.0.2.15","UDP","67","443  >  59270 Len=25"
"24","2.104510091","172.217.22.4","10.0.2.15","UDP","1288","443  >  59270 Len=1246"
"25","2.104512025","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"26","2.105166873","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"27","2.105167635","172.217.22.4","10.0.2.15","UDP","425","443  >  59270 Len=383"
"28","2.105243457","172.217.22.4","10.0.2.15","UDP","200","443  >  59270 Len=158"
"29","2.105346881","10.0.2.15","172.217.22.4","UDP","78","59270  >  443 Len=36"
"30","2.105515848","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"31","2.105576532","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"32","2.113206097","172.217.22.4","10.0.2.15","UDP","1287","443  >  59270 Len=1245"
"33","2.113491252","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"34","2.113645772","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"35","2.116514204","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"36","2.116514995","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"37","2.116716423","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"38","2.116716453","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
"39","2.116961894","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"40","2.117019462","10.0.2.15","172.217.22.4","UDP","74","59270  >  443 Len=32"
"41","2.121460324","172.217.22.4","10.0.2.15","UDP","1292","443  >  59270 Len=1250"
