"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","35.227.221.109","TCP","54","43282  >  443 [FIN, ACK] Seq=1 Ack=1 Win=62780 Len=0"
"2","0.000253935","10.0.2.15","213.57.24.202","TLSv1.2","858","Application Data"
"3","0.002282794","35.227.221.109","10.0.2.15","TCP","60","443  >  43282 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"4","0.002283285","213.57.24.202","10.0.2.15","TCP","60","443  >  38356 [ACK] Seq=1 Ack=805 Win=65535 Len=0"
"5","0.023342090","35.227.221.109","10.0.2.15","TCP","60","443  >  43282 [FIN, ACK] Seq=1 Ack=2 Win=65535 Len=0"
"6","0.023458268","10.0.2.15","35.227.221.109","TCP","54","43282  >  443 [ACK] Seq=2 Ack=2 Win=62780 Len=0"
"7","0.023343022","213.57.24.202","10.0.2.15","TLSv1.2","635","Application Data"
"8","0.023564847","10.0.2.15","213.57.24.202","TCP","54","38356  >  443 [ACK] Seq=805 Ack=582 Win=65535 Len=0"
"9","0.025392109","213.57.24.202","10.0.2.15","TCP","1514","443  >  38356 [PSH, ACK] Seq=582 Ack=805 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"10","0.025567137","10.0.2.15","213.57.24.202","TCP","54","38356  >  443 [ACK] Seq=805 Ack=2042 Win=65535 Len=0"
"11","0.027893253","213.57.24.202","10.0.2.15","TCP","13194","443  >  38356 [PSH, ACK] Seq=2042 Ack=805 Win=65535 Len=13140 [TCP segment of a reassembled PDU]"
"12","0.027976048","10.0.2.15","213.57.24.202","TCP","54","38356  >  443 [ACK] Seq=805 Ack=15182 Win=65535 Len=0"
"13","0.028041761","213.57.24.202","10.0.2.15","TLSv1.2","2974","Application Data"
"14","0.028062109","10.0.2.15","213.57.24.202","TCP","54","38356  >  443 [ACK] Seq=805 Ack=18102 Win=65535 Len=0"
