"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.0.60","TLSv1.2","118","Application Data"
"2","0.000583308","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
"3","0.170069838","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"4","0.170161801","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=65 Ack=59 Win=65535 Len=0"
"5","2.139184262","10.0.2.15","157.240.0.60","TLSv1.2","157","Application Data"
"6","2.144289452","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=59 Ack=168 Win=65535 Len=0"
"7","2.314501557","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"8","2.314559897","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=149 Win=65535 Len=0"
"9","3.048819735","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"10","3.048869288","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=226 Win=65535 Len=0"
"13","10.665587575","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"14","10.665629143","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=303 Win=65535 Len=0"
"15","14.983027703","157.240.0.60","10.0.2.15","TLSv1.2","317","Application Data"
"16","14.983081174","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=566 Win=65535 Len=0"
"17","15.101650527","10.0.2.15","157.240.0.60","TLSv1.2","145","Application Data"
"18","15.101925865","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=566 Ack=259 Win=65535 Len=0"
"19","15.191167594","10.0.2.15","157.240.0.60","TLSv1.2","157","Application Data"
"20","15.191775118","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=566 Ack=362 Win=65535 Len=0"
"21","15.362191390","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"22","15.362233159","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=362 Ack=656 Win=65535 Len=0"
"23","24.556071744","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"24","24.556130836","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=362 Ack=733 Win=65535 Len=0"
"25","28.706129933","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"26","28.706173766","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=362 Ack=810 Win=65535 Len=0"
"27","29.525310488","157.240.0.60","10.0.2.15","TLSv1.2","365","Application Data"
"28","29.525364339","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=362 Ack=1121 Win=65535 Len=0"
"29","29.634531152","10.0.2.15","157.240.0.60","TLSv1.2","145","Application Data"
"30","29.634975398","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=1121 Ack=453 Win=65535 Len=0"
"31","29.710131178","10.0.2.15","157.240.0.60","TLSv1.2","157","Application Data"
"32","29.711761918","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=1121 Ack=556 Win=65535 Len=0"
"33","29.881292445","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
