"No.","Time","Source","Destination","Protocol","Length","Info"
"6","0.676755487","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=1 Ack=71 Win=65535 Len=0"
"7","0.834948998","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"9","5.915234657","157.240.221.60","10.0.2.15","TLSv1.2","1312","Application Data"
"12","6.257159376","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=1331 Ack=162 Win=65535 Len=0"
"13","18.481757906","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=1331 Ack=162 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"15","18.489077721","157.240.221.60","10.0.2.15","TLSv1.2","978","Application Data, Application Data"
"18","18.855924699","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=3603 Ack=253 Win=65535 Len=0"
"20","24.677875664","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=3603 Ack=323 Win=65535 Len=0"
"21","24.842847302","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"24","30.714393267","157.240.221.60","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  39800 [ACK] Seq=1 Ack=2 Win=65535 Len=0"
"25","36.266908797","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=3675 Ack=323 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"27","36.267314293","157.240.221.60","10.0.2.15","TLSv1.2","866","Application Data, Application Data"
"30","36.644316268","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=5947 Ack=414 Win=65535 Len=0"
"152","49.594878799","157.240.221.60","10.0.2.15","TLSv1.2","93","Application Data"
"154","49.595562016","157.240.221.60","10.0.2.15","TCP","60","[TCP ACKed unseen segment] 443  >  39800 [ACK] Seq=40 Ack=3 Win=65535 Len=0"
"155","49.598824029","157.240.221.60","10.0.2.15","TCP","60","443  >  39800 [FIN, ACK] Seq=40 Ack=3 Win=65535 Len=0"
"158","49.677302063","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=5947 Ack=484 Win=65535 Len=0"
"159","49.847003331","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"161","55.875448819","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=6019 Ack=484 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"163","55.875791094","157.240.221.60","10.0.2.15","TLSv1.2","1912","Application Data, Application Data, Application Data"
"166","56.274251663","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=9337 Ack=575 Win=65535 Len=0"
"180","71.084023534","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=9337 Ack=575 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"182","71.084358414","157.240.221.60","10.0.2.15","TLSv1.2","1455","Application Data"
"184","71.089743481","157.240.221.60","10.0.2.15","TLSv1.2","1402","Application Data"
"186","71.089934907","157.240.221.60","10.0.2.15","TLSv1.2","171","Application Data"
"189","71.491421384","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=13663 Ack=666 Win=65535 Len=0"
"191","79.091554264","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=13663 Ack=736 Win=65535 Len=0"
"192","79.255892803","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"194","86.566560914","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=13735 Ack=736 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"196","86.566959347","157.240.221.60","10.0.2.15","TLSv1.2","2920","Application Data, Application Data, Application Data"
"199","86.980873705","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=18061 Ack=827 Win=65535 Len=0"
"205","96.676640781","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=18061 Ack=897 Win=65535 Len=0"
"206","96.838557561","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"208","101.225090147","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=18133 Ack=897 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"210","101.225449856","157.240.221.60","10.0.2.15","TLSv1.2","107","Application Data"
"212","101.231510958","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=19646 Ack=897 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"214","101.236978483","157.240.221.60","10.0.2.15","TLSv1.2","1402","Application Data"
"216","101.237190790","157.240.221.60","10.0.2.15","TLSv1.2","156","Application Data"
"219","101.648992504","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=22444 Ack=988 Win=65535 Len=0"
"220","108.357978372","157.240.221.60","10.0.2.15","TLSv1.2","153","Application Data"
"223","108.396185389","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=22543 Ack=1062 Win=65535 Len=0"
"246","114.691373656","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=22543 Ack=1132 Win=65535 Len=0"
"247","114.941589496","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"249","115.909782148","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=22615 Ack=1132 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"251","115.915749280","157.240.221.60","10.0.2.15","TLSv1.2","1567","Application Data"
"253","115.915968149","157.240.221.60","10.0.2.15","TLSv1.2","1504","Application Data, Application Data"
"256","116.384576819","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=26926 Ack=1223 Win=65535 Len=0"
"257","131.100556268","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=26926 Ack=1223 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"259","131.100928902","157.240.221.60","10.0.2.15","TLSv1.2","107","Application Data"
"261","131.106165617","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=28439 Ack=1223 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"263","131.106166508","157.240.221.60","10.0.2.15","TLSv1.2","1301","Application Data"
"265","131.112341369","157.240.221.60","10.0.2.15","TCP","2750","443  >  36966 [PSH, ACK] Seq=31034 Ack=1223 Win=65535 Len=2696 [TCP segment of a reassembled PDU]"
"267","131.118362486","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=33730 Ack=1223 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"269","131.118363057","157.240.221.60","10.0.2.15","TLSv1.2","283","Application Data, Application Data"
"272","131.594731561","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=35307 Ack=1314 Win=65535 Len=0"
"278","143.695007987","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=35307 Ack=1384 Win=65535 Len=0"
"279","143.856901431","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"286","161.747746052","157.240.221.60","10.0.2.15","TCP","1514","443  >  36966 [ACK] Seq=35379 Ack=1384 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"288","161.748063700","157.240.221.60","10.0.2.15","TLSv1.2","2921","Application Data, Application Data, Application Data"
"292","162.289959636","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=39706 Ack=1475 Win=65535 Len=0"
"297","170.676889611","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=39706 Ack=1545 Win=65535 Len=0"
"298","170.844219435","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"325","176.060332138","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=39778 Ack=1545 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"327","176.066819359","157.240.221.60","10.0.2.15","TLSv1.2","219","Application Data"
"329","176.072205493","157.240.221.60","10.0.2.15","TCP","1402","443  >  36966 [PSH, ACK] Seq=41291 Ack=1545 Win=65535 Len=1348 [TCP segment of a reassembled PDU]"
"331","176.078073980","157.240.221.60","10.0.2.15","TLSv1.2","1301","Application Data"
"333","176.089224310","157.240.221.60","10.0.2.15","TCP","2750","443  >  36966 [PSH, ACK] Seq=43886 Ack=1545 Win=65535 Len=2696 [TCP segment of a reassembled PDU]"
"335","176.091838125","157.240.221.60","10.0.2.15","TLSv1.2","1631","Application Data, Application Data"
"338","176.642347651","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=48159 Ack=1636 Win=65535 Len=0"
