"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"4","2.606144836","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=78 Ack=65 Win=65535 Len=0"
"5","2.728946432","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"7","11.091310340","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=155 Ack=65 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"9","11.091906291","157.240.0.60","10.0.2.15","TLSv1.2","886","Application Data, Application Data"
"12","11.193252713","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=2379 Ack=156 Win=65535 Len=0"
"18","15.556075650","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=2379 Ack=226 Win=65535 Len=0"
"19","15.724072697","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"23","26.108277179","157.240.0.60","10.0.2.15","TCP","1514","443  >  33122 [ACK] Seq=2451 Ack=226 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"25","26.108560462","157.240.0.60","10.0.2.15","TLSv1.2","107","Application Data"
"27","26.110364416","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=3964 Ack=226 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"29","26.110938401","157.240.0.60","10.0.2.15","TLSv1.2","1257","Application Data"
"31","26.114889750","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=6559 Ack=226 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"34","26.127240178","157.240.0.60","10.0.2.15","TLSv1.2","758","Application Data, Application Data"
"37","26.311986989","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=8655 Ack=317 Win=65535 Len=0"
"46","40.068134994","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=8655 Ack=387 Win=65535 Len=0"
"47","40.231508369","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"49","41.290373431","157.240.0.60","10.0.2.15","TLSv1.2","1567","Application Data"
"51","41.292644274","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=10240 Ack=387 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"53","41.293096334","157.240.0.60","10.0.2.15","TLSv1.2","1379","Application Data, Application Data"
"56","41.505299464","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=12957 Ack=478 Win=65535 Len=0"
"57","56.045642607","157.240.0.60","10.0.2.15","TCP","1514","443  >  33122 [ACK] Seq=12957 Ack=478 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"59","56.045883941","157.240.0.60","10.0.2.15","TLSv1.2","107","Application Data"
"61","56.047512184","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=14470 Ack=478 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"63","56.047862153","157.240.0.60","10.0.2.15","TLSv1.2","1257","Application Data"
"65","56.057252477","157.240.0.60","10.0.2.15","TLSv1.2","2150","Application Data, Application Data"
"68","56.250311177","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=19161 Ack=569 Win=65535 Len=0"
"74","60.195664696","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=19161 Ack=639 Win=65535 Len=0"
"75","60.356529518","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"79","71.182708086","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=19233 Ack=639 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"81","71.190244351","157.240.0.60","10.0.2.15","TLSv1.2","2770","Application Data, Application Data"
"83","71.190519890","157.240.0.60","10.0.2.15","TLSv1.2","2166","Application Data, Application Data"
"86","71.335370669","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=25453 Ack=730 Win=65535 Len=0"
"97","79.562725415","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=25453 Ack=800 Win=65535 Len=0"
"98","79.749477291","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"100","86.095732257","157.240.0.60","10.0.2.15","TCP","1514","443  >  33122 [ACK] Seq=25525 Ack=800 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"102","86.095953934","157.240.0.60","10.0.2.15","TLSv1.2","107","Application Data"
"104","86.097293033","157.240.0.60","10.0.2.15","TLSv1.2","2649","Application Data"
"106","86.101388716","157.240.0.60","10.0.2.15","TLSv1.2","2150","Application Data, Application Data"
"109","86.259722492","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=31729 Ack=891 Win=65535 Len=0"
"111","88.007544218","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=31729 Ack=955 Win=65535 Len=0"
"112","88.169548964","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"115","90.819100827","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=31787 Ack=1152 Win=65535 Len=0"
"116","90.986270211","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"118","95.265443659","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"120","99.274675819","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"122","101.265045438","157.240.0.60","10.0.2.15","TCP","1514","443  >  33122 [ACK] Seq=32031 Ack=1152 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"124","101.265384857","157.240.0.60","10.0.2.15","TLSv1.2","107","Application Data"
"126","101.266974055","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=33544 Ack=1152 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"128","101.267275442","157.240.0.60","10.0.2.15","TLSv1.2","1257","Application Data"
"130","101.271187489","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=36139 Ack=1152 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"132","101.271538960","157.240.0.60","10.0.2.15","TLSv1.2","1446","Application Data"
"134","101.276005149","157.240.0.60","10.0.2.15","TLSv1.2","390","Application Data"
"136","101.276965234","157.240.0.60","10.0.2.15","TLSv1.2","1567","Application Data"
"138","101.279855610","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=40772 Ack=1152 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"140","101.282344430","157.240.0.60","10.0.2.15","TLSv1.2","1446","Application Data"
"142","101.284624218","157.240.0.60","10.0.2.15","TLSv1.2","719","Application Data"
"145","101.390379505","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=44221 Ack=1243 Win=65535 Len=0"
"147","101.443825948","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=44221 Ack=1346 Win=65535 Len=0"
"148","101.923850668","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"152","106.768577438","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"154","109.131233091","157.240.0.60","10.0.2.15","TLSv1.2","142","Application Data"
"157","109.134505029","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=44476 Ack=1418 Win=65535 Len=0"
"158","109.868849590","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"163","111.401612941","157.240.0.60","10.0.2.15","TCP","60","443  >  33122 [ACK] Seq=44553 Ack=2371 Win=65535 Len=0"
"169","111.563565960","157.240.0.60","10.0.2.15","TLSv1.2","118","Application Data"
"171","111.604015196","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [SYN, ACK] Seq=0 Ack=1 Win=65535 Len=0 MSS=1460"
"174","111.605118060","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=1 Ack=518 Win=65535 Len=0"
"175","111.672696663","157.240.0.60","10.0.2.15","TLSv1.3","266","Server Hello, Change Cipher Spec, Application Data"
"178","111.673598419","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=582 Win=65535 Len=0"
"180","111.673846315","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=680 Win=65535 Len=0"
"185","111.674831037","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=1143 Win=65535 Len=0"
"186","111.674831528","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=1946 Win=65535 Len=0"
"187","111.674939571","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=2069 Win=65535 Len=0"
"188","111.674939621","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=213 Ack=2872 Win=65535 Len=0"
"189","111.745495973","157.240.0.60","10.0.2.15","TLSv1.3","225","Application Data"
"190","111.745643551","157.240.0.60","10.0.2.15","TLSv1.3","128","Application Data"
"193","111.746095030","157.240.0.60","10.0.2.15","TCP","60","443  >  50174 [ACK] Seq=458 Ack=2903 Win=65535 Len=0"
"194","111.746259539","157.240.0.60","10.0.2.15","TLSv1.3","98","Application Data"
"195","111.748852175","157.240.0.60","10.0.2.15","TLSv1.3","89","Application Data"
"197","111.768504782","157.240.0.60","10.0.2.15","TLSv1.3","544","Application Data"
"198","111.775536847","157.240.0.60","10.0.2.15","TLSv1.3","266","Application Data"
"202","116.381812984","157.240.0.60","10.0.2.15","TCP","1514","443  >  33122 [ACK] Seq=44617 Ack=2371 Win=65535 Len=1460 [TCP segment of a reassembled PDU]"
"204","116.382068445","157.240.0.60","10.0.2.15","TLSv1.2","107","Application Data"
"206","116.383561462","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=46130 Ack=2371 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"208","116.383830178","157.240.0.60","10.0.2.15","TLSv1.2","1257","Application Data"
"210","116.388378200","157.240.0.60","10.0.2.15","TCP","1446","443  >  33122 [PSH, ACK] Seq=48725 Ack=2371 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
