"No.","Time","Source","Destination","Protocol","Length","Info"
"3","1.102847198","10.0.2.15","157.240.0.60","TLSv1.2","118","Application Data"
"4","1.103759896","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
"5","1.271517548","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"6","1.315552376","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=65 Ack=59 Win=64022 Len=0"
"7","3.424214139","10.0.2.15","157.240.0.60","TLSv1.2","157","Application Data"
"8","3.425010754","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=59 Ack=168 Win=65535 Len=0"
"9","3.597873838","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"10","3.598081146","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=149 Win=64022 Len=0"
"12","7.220630138","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"13","7.220698806","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=226 Win=64022 Len=0"
"16","8.602452659","157.240.0.60","10.0.2.15","TLSv1.2","301","Application Data"
"17","8.602499747","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=168 Ack=473 Win=64022 Len=0"
"18","8.833005940","10.0.2.15","157.240.0.60","TLSv1.2","145","Application Data"
"19","8.833768046","157.240.0.60","10.0.2.15","TCP","60","443  >  34064 [ACK] Seq=473 Ack=259 Win=65535 Len=0"
"21","17.201491390","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"22","17.201683911","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=259 Ack=550 Win=64022 Len=0"
"23","18.335122793","157.240.0.60","10.0.2.15","TLSv1.2","301","Application Data"
"24","18.335168068","10.0.2.15","157.240.0.60","TCP","54","34064  >  443 [ACK] Seq=259 Ack=797 Win=64022 Len=0"
