"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.221.60","TLSv1.2","118","Application Data"
"2","0.000570968","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=1 Ack=65 Win=65535 Len=0"
"12","0.388692601","10.0.2.15","157.240.221.60","TLSv1.2","124","Application Data"
"13","0.390062121","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=1 Ack=135 Win=65535 Len=0"
"15","0.657334605","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"16","0.657453662","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=135 Ack=73 Win=63356 Len=0"
"76","2.004750603","157.240.221.60","10.0.2.15","TLSv1.2","381","Application Data"
"77","2.004833421","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=135 Ack=400 Win=63356 Len=0"
"78","2.552534861","10.0.2.15","157.240.221.60","TLSv1.2","145","Application Data"
"79","2.553460064","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=400 Ack=226 Win=65535 Len=0"
"101","6.148224642","10.0.2.15","157.240.221.60","TLSv1.2","181","Application Data"
"102","6.148874241","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=400 Ack=353 Win=65535 Len=0"
"103","6.357674646","157.240.221.60","10.0.2.15","TLSv1.2","144","Application Data"
"104","6.357830483","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=353 Ack=490 Win=63356 Len=0"
"109","12.384987852","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"110","12.385035663","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=353 Ack=567 Win=63356 Len=0"
"111","15.797357627","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"112","15.797401591","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=353 Ack=644 Win=63356 Len=0"
"140","19.275370431","157.240.221.60","10.0.2.15","TLSv1.2","349","Application Data"
"141","19.275418252","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=353 Ack=939 Win=63356 Len=0"
"142","19.540645619","10.0.2.15","157.240.221.60","TLSv1.2","145","Application Data"
"143","19.541121717","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=939 Ack=444 Win=65535 Len=0"
"144","19.661854930","10.0.2.15","157.240.221.60","TLSv1.2","157","Application Data"
"145","19.662557349","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=939 Ack=547 Win=65535 Len=0"
"146","20.025920637","157.240.221.60","10.0.2.15","TLSv1.2","144","Application Data"
"147","20.026075792","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=1029 Win=63356 Len=0"
"177","26.061531191","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"178","26.061583611","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=1106 Win=63356 Len=0"
"179","29.929661217","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"180","29.929708928","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=1183 Win=63356 Len=0"
"181","30.458462431","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"182","30.458577440","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=1260 Win=63356 Len=0"
"197","34.125541965","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"198","34.125583414","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=1337 Win=63356 Len=0"
"199","36.661870323","157.240.221.60","10.0.2.15","TLSv1.2","736","Application Data"
"200","36.661918275","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=547 Ack=2019 Win=63356 Len=0"
"201","36.936109093","10.0.2.15","157.240.221.60","TLSv1.2","145","Application Data"
"202","36.937037424","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=2019 Ack=638 Win=65535 Len=0"
"203","37.065440573","10.0.2.15","157.240.221.60","TLSv1.2","157","Application Data"
"204","37.066213396","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=2019 Ack=741 Win=65535 Len=0"
"205","37.251825986","157.240.221.60","10.0.2.15","TLSv1.2","144","Application Data"
"206","37.251869740","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=741 Ack=2109 Win=63356 Len=0"
"209","39.224786676","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"210","39.224845037","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=741 Ack=2186 Win=63356 Len=0"
"211","45.696445093","157.240.221.60","10.0.2.15","TLSv1.2","131","Application Data"
"212","45.696488676","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=741 Ack=2263 Win=63356 Len=0"
"219","52.798245153","157.240.221.60","10.0.2.15","TLSv1.2","150","Application Data"
"220","52.798295750","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=741 Ack=2359 Win=63356 Len=0"
"221","52.839918705","10.0.2.15","157.240.221.60","TLSv1.2","128","Application Data"
"222","52.840486738","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=2359 Ack=815 Win=65535 Len=0"
"252","54.604590482","10.0.2.15","157.240.221.60","TLSv1.2","124","Application Data"
"253","54.605065548","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=2359 Ack=885 Win=65535 Len=0"
"254","54.777036715","157.240.221.60","10.0.2.15","TLSv1.2","126","Application Data"
"255","54.826041772","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=885 Ack=2431 Win=63356 Len=0"
"256","57.494177328","10.0.2.15","157.240.221.60","TLSv1.2","118","Application Data"
"257","57.494969268","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=2431 Ack=949 Win=65535 Len=0"
"265","66.705434030","157.240.221.60","10.0.2.15","TLSv1.2","1088","Application Data"
"266","66.705516838","10.0.2.15","157.240.221.60","TCP","54","36966  >  443 [ACK] Seq=949 Ack=3465 Win=63356 Len=0"
"267","66.932699347","10.0.2.15","157.240.221.60","TLSv1.2","145","Application Data"
"268","66.933592992","157.240.221.60","10.0.2.15","TCP","60","443  >  36966 [ACK] Seq=3465 Ack=1040 Win=65535 Len=0"
"269","73.250284375","10.0.2.15","157.240.221.60","TLSv1.2","124","Application Data"
