"No.","Time","Source","Destination","Protocol","Length","Info"
"3","0.167277232","157.240.0.60","10.0.2.15","TLSv1.2","112","Application Data"
"11","13.762454734","157.240.0.60","10.0.2.15","TLSv1.2","1102","Application Data"
"22","14.124700318","157.240.0.60","10.0.2.15","QUIC","1274","Initial, SCID=ab1d00c412adb583, PKN: 10860662, CRYPTO, ACK, PADDING"
"23","14.125920036","157.240.0.60","10.0.2.15","QUIC","251","Handshake, SCID=ab1d00c412adb583"
"24","14.125920537","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"25","14.125920567","157.240.0.60","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"26","14.125920587","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"29","14.198966395","157.240.0.60","10.0.2.15","QUIC","81","Handshake, SCID=ab1d00c412adb583"
"30","14.198967346","157.240.0.60","10.0.2.15","QUIC","154","Protected Payload (KP0)"
"31","14.199250147","157.240.0.60","10.0.2.15","QUIC","314","Protected Payload (KP0)"
"34","14.455548450","157.240.0.60","10.0.2.15","QUIC","602","Protected Payload (KP0)"
"35","14.455549091","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"37","14.464403874","157.240.0.60","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"38","14.464404325","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"39","14.464404385","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"40","14.464404455","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"41","14.464404515","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"42","14.464644686","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"43","14.464644916","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"44","14.464644966","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"45","14.464645036","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"46","14.464645086","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"47","14.464645136","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"48","14.464645197","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"49","14.464645247","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"50","14.464695671","157.240.0.60","10.0.2.15","QUIC","442","Protected Payload (KP0)"
"51","14.464695741","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"52","14.464695801","157.240.0.60","10.0.2.15","QUIC","378","Protected Payload (KP0)"
