"No.","Time","Source","Destination","Protocol","Length","Info"
"1","0.000000000","10.0.2.15","157.240.0.60","TLSv1.2","124","Application Data"
"2","0.000605404","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=1 Ack=71 Win=65535 Len=0"
"3","0.161703866","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"4","0.161739653","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=71 Ack=73 Win=62780 Len=0"
"5","6.165160300","157.240.0.60","10.0.2.15","TLSv1.2","285","Application Data"
"6","6.165208987","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=71 Ack=304 Win=62780 Len=0"
"7","6.318428788","10.0.2.15","157.240.0.60","TLSv1.2","145","Application Data"
"8","6.318674130","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=304 Ack=162 Win=65535 Len=0"
"17","7.981488119","10.0.2.15","157.240.0.60","TLSv1.2","118","Application Data"
"18","7.982077972","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=304 Ack=226 Win=65535 Len=0"
"22","8.020557069","10.0.2.15","157.240.0.60","QUIC","1292","Initial, DCID=7774456eca24ba05, PKN: 1, CRYPTO, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO"
"23","8.024475002","10.0.2.15","157.240.0.60","QUIC","120","0-RTT, DCID=7774456eca24ba05"
"24","8.024812661","10.0.2.15","157.240.0.60","QUIC","454","0-RTT, DCID=7774456eca24ba05"
"26","8.099076761","157.240.0.60","10.0.2.15","QUIC","1274","Initial, SCID=941d0102027da3a8, PKN: 9790797, CRYPTO, ACK, PADDING"
"27","8.099077301","157.240.0.60","10.0.2.15","QUIC","251","Handshake, SCID=941d0102027da3a8"
"28","8.099077321","157.240.0.60","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"29","8.101768854","10.0.2.15","157.240.0.60","QUIC","1292","Handshake, DCID=941d0102027da3a8"
"30","8.101842561","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"31","8.102975272","10.0.2.15","157.240.0.60","QUIC","76","Protected Payload (KP0), DCID=941d0102027da3a8"
"32","8.106549004","10.0.2.15","157.240.0.60","TLSv1.2","181","Application Data"
"33","8.107184450","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=304 Ack=353 Win=65535 Len=0"
"34","8.122583775","157.240.0.60","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"35","8.122584326","157.240.0.60","10.0.2.15","QUIC","442","Protected Payload (KP0)"
"36","8.122584386","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"37","8.123309745","10.0.2.15","157.240.0.60","QUIC","80","Protected Payload (KP0), DCID=941d0102027da3a8"
"38","8.156214788","10.0.2.15","157.240.0.60","QUIC","77","Protected Payload (KP0), DCID=941d0102027da3a8"
"39","8.180103247","157.240.0.60","10.0.2.15","QUIC","81","Handshake, SCID=941d0102027da3a8"
"40","8.180104219","157.240.0.60","10.0.2.15","QUIC","154","Protected Payload (KP0)"
"41","8.180104239","157.240.0.60","10.0.2.15","QUIC","314","Protected Payload (KP0)"
"42","8.180547357","10.0.2.15","157.240.0.60","QUIC","76","Protected Payload (KP0), DCID=941d0102027da3a8"
"43","8.225889816","157.240.0.60","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"44","8.272690385","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"45","8.272735016","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=353 Ack=394 Win=62780 Len=0"
"52","13.851954422","157.240.0.60","10.0.2.15","TLSv1.2","1298","Application Data"
"53","13.852217794","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=353 Ack=1638 Win=62780 Len=0"
"54","14.029143129","10.0.2.15","157.240.0.60","TLSv1.2","145","Application Data"
"55","14.029404478","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=1638 Ack=444 Win=65535 Len=0"
"56","14.099911929","10.0.2.15","157.240.0.60","TLSv1.2","157","Application Data"
"57","14.100459437","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=1638 Ack=547 Win=65535 Len=0"
"58","14.261972407","157.240.0.60","10.0.2.15","TLSv1.2","144","Application Data"
"59","14.262002314","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=547 Ack=1728 Win=62780 Len=0"
"65","32.510198062","157.240.0.60","10.0.2.15","TCP","1446","443  >  56326 [PSH, ACK] Seq=1728 Ack=547 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"66","32.510268195","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=547 Ack=3120 Win=62780 Len=0"
"67","32.517491112","157.240.0.60","10.0.2.15","TLSv1.2","278","Application Data, Application Data"
"68","32.517523414","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=547 Ack=3344 Win=62780 Len=0"
"71","32.672610865","10.0.2.15","157.240.0.60","TLSv1.2","129","Application Data"
"72","32.672872162","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=3344 Ack=622 Win=65535 Len=0"
"73","32.675591293","10.0.2.15","157.240.0.60","TLSv1.2","144","Application Data"
"74","32.676539701","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=3344 Ack=712 Win=65535 Len=0"
"77","32.691527701","10.0.2.15","213.57.24.97","QUIC","1292","Initial, DCID=b863a0d50d0205a6, PKN: 1, PING, PADDING, CRYPTO, CRYPTO, PADDING, PING, PING, PING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PING, CRYPTO, PADDING, CRYPTO, CRYPTO, PING, PING, CRYPTO"
"78","32.692107047","10.0.2.15","213.57.24.97","QUIC","122","0-RTT, DCID=b863a0d50d0205a6"
"79","32.692493592","10.0.2.15","213.57.24.97","QUIC","637","0-RTT, DCID=b863a0d50d0205a6"
"80","32.708733690","213.57.24.97","10.0.2.15","QUIC","1274","Initial, SCID=b3810008126f8a25, PKN: 2192701, CRYPTO, ACK, PADDING"
"81","32.708734191","213.57.24.97","10.0.2.15","QUIC","250","Handshake, SCID=b3810008126f8a25"
"82","32.709770331","10.0.2.15","213.57.24.97","QUIC","123","Handshake, DCID=b3810008126f8a25"
"83","32.710424449","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"84","32.710424839","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"85","32.711061518","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"86","32.711347351","10.0.2.15","213.57.24.97","QUIC","76","Protected Payload (KP0), DCID=b3810008126f8a25"
"87","32.729513417","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=b3810008126f8a25"
"88","32.729513878","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
