"No.","Time","Source","Destination","Protocol","Length","Info"
"3","4.574620210","10.0.2.15","157.240.0.60","TLSv1.2","124","Application Data"
"4","4.575097975","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=1 Ack=71 Win=65535 Len=0"
"5","4.740391881","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"6","4.740449760","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=71 Ack=73 Win=64022 Len=0"
"9","6.295325526","10.0.2.15","157.240.0.60","TLSv1.2","118","Application Data"
"10","6.296098698","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=73 Ack=135 Win=65535 Len=0"
"11","7.070507913","157.240.0.60","10.0.2.15","TLSv1.2","131","Application Data"
"12","7.070557997","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=135 Ack=150 Win=64022 Len=0"
"13","8.316126467","157.240.0.60","10.0.2.15","TLSv1.2","535","Application Data"
"14","8.316203722","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=135 Ack=631 Win=64022 Len=0"
"24","8.616457617","10.0.2.15","157.240.0.60","TLSv1.2","144","Application Data"
"25","8.617649622","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=631 Ack=225 Win=65535 Len=0"
"26","8.621436174","10.0.2.15","157.240.0.60","TLSv1.2","156","Application Data"
"27","8.622056016","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=631 Ack=327 Win=65535 Len=0"
"45","8.783381369","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"46","8.783423768","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=327 Ack=720 Win=64022 Len=0"
"67","31.455886334","10.0.2.15","157.240.0.60","TLSv1.2","124","Application Data"
"68","31.456501257","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=720 Ack=397 Win=65535 Len=0"
"69","31.616136387","157.240.0.60","10.0.2.15","TLSv1.2","126","Application Data"
"70","31.616177274","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=397 Ack=792 Win=64022 Len=0"
"72","32.796145838","157.240.0.60","10.0.2.15","TCP","1446","443  >  56326 [PSH, ACK] Seq=792 Ack=397 Win=65535 Len=1392 [TCP segment of a reassembled PDU]"
"73","32.796203526","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=397 Ack=2184 Win=64022 Len=0"
"74","32.803673888","157.240.0.60","10.0.2.15","TLSv1.2","838","Application Data, Application Data"
"75","32.803710566","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=397 Ack=2968 Win=64022 Len=0"
"76","32.885661712","10.0.2.15","157.240.0.60","TLSv1.2","129","Application Data"
"77","32.886396525","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=2968 Ack=472 Win=65535 Len=0"
"80","32.888493348","10.0.2.15","157.240.0.60","TLSv1.2","144","Application Data"
"81","32.888792549","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=2968 Ack=562 Win=65535 Len=0"
"84","32.910530870","10.0.2.15","213.57.24.97","QUIC","1292","Initial, DCID=fd8428a7b07cc475, PKN: 1, CRYPTO, PADDING, PING, PADDING, CRYPTO, CRYPTO, PADDING, CRYPTO, PADDING, CRYPTO, PADDING, PING, PADDING, CRYPTO, PADDING"
"85","32.910811687","10.0.2.15","213.57.24.97","QUIC","116","0-RTT, DCID=fd8428a7b07cc475"
"86","32.911029696","10.0.2.15","213.57.24.97","QUIC","638","0-RTT, DCID=fd8428a7b07cc475"
"87","32.916929151","10.0.2.15","157.240.0.60","TLSv1.2","156","Application Data"
"88","32.917497817","157.240.0.60","10.0.2.15","TCP","60","443  >  56326 [ACK] Seq=2968 Ack=664 Win=65535 Len=0"
"89","32.933029257","213.57.24.97","10.0.2.15","QUIC","1274","Initial, SCID=9281000a3cb5d5f9, PKN: 4419, CRYPTO, ACK, PADDING"
"90","32.933029628","213.57.24.97","10.0.2.15","QUIC","249","Handshake, SCID=9281000a3cb5d5f9"
"91","32.933102755","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"92","32.933102775","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"93","32.933219995","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"94","32.933471381","10.0.2.15","213.57.24.97","QUIC","121","Handshake, DCID=9281000a3cb5d5f9"
"95","32.933570687","10.0.2.15","213.57.24.97","QUIC","74","Protected Payload (KP0), DCID=9281000a3cb5d5f9"
"96","32.951302398","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=9281000a3cb5d5f9"
"97","32.951302739","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"98","32.981880644","10.0.2.15","213.57.24.97","QUIC","75","Protected Payload (KP0), DCID=9281000a3cb5d5f9"
"99","33.059600044","157.240.0.60","10.0.2.15","TLSv1.2","1058","Application Data"
"100","33.059707435","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=664 Ack=3972 Win=64022 Len=0"
"101","33.079641442","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"102","33.079679924","10.0.2.15","157.240.0.60","TCP","54","56326  >  443 [ACK] Seq=664 Ack=4061 Win=64022 Len=0"
"103","33.110536847","213.57.24.97","10.0.2.15","QUIC","442","Protected Payload (KP0)"
"104","33.110801454","10.0.2.15","213.57.24.97","QUIC","78","Protected Payload (KP0), DCID=9281000a3cb5d5f9"
"105","33.111971598","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"106","33.111971909","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"107","33.112191621","10.0.2.15","213.57.24.97","QUIC","74","Protected Payload (KP0), DCID=9281000a3cb5d5f9"
