"No.","Time","Source","Destination","Protocol","Length","Info"
"5","0.221993810","157.240.0.60","10.0.2.15","TLSv1.2","128","Application Data"
"7","0.244894824","157.240.0.60","10.0.2.15","TLSv1.2","128","Application Data"
"13","18.657686174","157.240.0.60","10.0.2.15","TLSv1.2","466","Application Data, Application Data"
"25","18.821472815","213.57.24.97","10.0.2.15","QUIC","1274","Initial, SCID=9d81000620eb1c51, PKN: 3474616, CRYPTO, ACK, PADDING"
"26","18.821473657","213.57.24.97","10.0.2.15","QUIC","250","Handshake, SCID=9d81000620eb1c51"
"28","18.825196008","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"29","18.825196399","213.57.24.97","10.0.2.15","QUIC","122","Protected Payload (KP0)"
"30","18.825277952","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"31","18.825277972","213.57.24.97","10.0.2.15","QUIC","90","Protected Payload (KP0)"
"33","18.842691323","213.57.24.97","10.0.2.15","QUIC","81","Handshake, SCID=9d81000620eb1c51"
"34","18.842691784","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"38","19.014959532","213.57.24.97","10.0.2.15","QUIC","474","Protected Payload (KP0)"
"40","19.015827861","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"41","19.025803467","213.57.24.97","10.0.2.15","QUIC","378","Protected Payload (KP0)"
"43","19.027568612","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"44","19.027569454","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"45","19.027569634","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"46","19.027569955","213.57.24.97","10.0.2.15","QUIC","506","Protected Payload (KP0)"
"47","19.027570075","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"48","19.027571217","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"52","19.029196506","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"53","19.029196596","213.57.24.97","10.0.2.15","QUIC","506","Protected Payload (KP0)"
"54","19.029196696","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"55","19.029196726","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"56","19.029196746","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"59","19.030765939","213.57.24.97","10.0.2.15","QUIC","506","Protected Payload (KP0)"
"61","19.035226907","157.240.0.60","10.0.2.15","TLSv1.2","143","Application Data"
"63","19.046763475","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"64","19.048852483","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"66","19.057692754","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"67","19.057693225","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"68","19.057693245","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"69","19.057796168","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"70","19.057796228","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"71","19.057796258","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"72","19.057796278","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"73","19.057796298","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"74","19.057846602","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"75","19.057846622","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"76","19.057846642","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"77","19.057896466","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"78","19.057896516","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"85","19.059868144","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"86","19.059868996","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"87","19.059869026","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"88","19.059869046","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"89","19.059869066","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"93","19.072393217","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"94","19.072591859","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"96","19.073819051","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"97","19.073820153","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"99","19.076252840","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"100","19.085655080","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"101","19.085655481","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"102","19.085655501","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"103","19.085655521","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"104","19.085655541","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"105","19.085758825","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"106","19.085758895","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"107","19.085758915","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"108","19.085758935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"109","19.085823877","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"110","19.085823907","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"111","19.085823927","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"113","19.085879521","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"114","19.085879571","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"121","19.093935752","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"122","19.093936233","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"123","19.093936253","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"124","19.093936273","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"125","19.093936293","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"126","19.094031301","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"127","19.094031321","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"128","19.094031341","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"129","19.094031371","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"130","19.094031391","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"131","19.094132220","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"132","19.094132270","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"133","19.094132340","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"134","19.094296248","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"142","19.097487334","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"144","19.100493161","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"145","19.100493792","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"146","19.100493812","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"147","19.100493843","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"148","19.100493863","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"151","19.102615021","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"153","19.118899815","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"154","19.118900376","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"156","19.120112069","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"157","19.120215052","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"158","19.120287408","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"159","19.120287508","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"160","19.120287528","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"161","19.120383658","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"162","19.120383728","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"163","19.120383758","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"168","19.132755523","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"169","19.132756124","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"170","19.132756154","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"171","19.132756174","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"172","19.132756194","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"173","19.132921845","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"174","19.132921905","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"175","19.132921935","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
"176","19.132921955","213.57.24.97","10.0.2.15","QUIC","1274","Protected Payload (KP0)"
